epoch,loss
1,0.00015097003779374063
1,0.0
2,0.0006526461802423
2,0.0
3,0.001061122864484787
3,0.0
4,8.290563528134953e-06
4,0.0
5,0.0026550209149718285
5,0.0
6,3.67315806215629e-07
6,0.0
7,1.452494143450167e-05
7,0.0
8,1.5079619970492786e-06
8,0.0
9,1.103329736906744e-06
9,0.0
10,1.9312120969061652e-07
10,0.0
11,1.3202741122597672e-08
11,0.0
12,1.292350901849204e-07
12,0.0
13,2.6929662055863446e-08
13,0.0
14,7.363713194763477e-08
14,0.0
15,7.42946468790251e-08
15,0.0
16,1.4555315175357464e-08
16,0.0
17,1.0232454883407627e-07
17,0.0
18,1.231076041108281e-08
18,0.0
19,7.875922847233596e-08
19,0.0
20,1.928267501227765e-08
20,0.0
21,3.4819530592145043e-10
21,0.0
22,2.2238491603765453e-10
22,0.0
23,5.22273002623308e-10
23,0.0
24,1.0124390215082713e-09
24,0.0
25,7.215353869938212e-10
25,0.0
26,7.62402863063727e-10
26,0.0
27,2.659866993326432e-09
27,0.0
28,2.0542603729190034e-10
28,0.0
29,4.9444382616004035e-11
29,0.0
30,1.9185422694967258e-10
30,0.0
31,5.204415787218863e-10
31,0.0
32,1.3292112202578643e-11
32,0.0
33,2.161176793080699e-11
33,0.0
34,1.1631960585706258e-12
34,0.0
35,1.046653388958596e-11
35,0.0
36,2.8825583586744585e-10
36,0.0
37,1.8403639723274523e-11
37,0.0
38,2.998093960593362e-12
38,0.0
39,2.004702176830464e-12
39,0.0
40,6.728155359236876e-13
40,0.0
41,1.31146915549607e-09
41,0.0
42,1.282212183650877e-13
42,0.0
43,4.761382260687341e-14
43,0.0
44,4.153014737662275e-14
44,0.0
45,3.777620577460894e-14
45,0.0
46,3.750613986053253e-10
46,0.0
47,6.98659879949659e-14
47,0.0
48,6.721186107672139e-14
48,0.0
49,1.1235890690075578e-13
49,0.0
50,1.1171619185290638e-14
50,0.0
51,3.303505247131966e-10
51,0.0
52,1.1388459619787739e-13
52,0.0
53,1.3906410745168074e-14
53,0.0
54,2.3317285602342253e-14
54,0.0
55,6.7992486640910954e-15
55,0.0
56,3.133543702293906e-10
56,0.0
57,7.98736077278761e-14
57,0.0
58,6.759350024143629e-15
58,0.0
